facility_id,hcahps_measure_id,hcahps_question,patient_survey_star_rating,patient_survey_star_rating_footnote,hcahps_linear_mean_value,number_of_completed_surveys,number_of_completed_surveys_footnote,survey_response_rate_percent,start_date,end_date
010045,H_STAR_RATING,Summary star rating,5,,,148,,35,2024-10-01,2025-09-30
010046,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,91,442,,27,2024-10-01,2025-09-30
010046,H_COMP_1_STAR_RATING,Nurse communication - star rating,3,,,442,,27,2024-10-01,2025-09-30
010046,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,89,442,,27,2024-10-01,2025-09-30
010046,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,4,,,442,,27,2024-10-01,2025-09-30
010046,H_STAR_RATING,Summary star rating,3,,,442,,27,2024-10-01,2025-09-30
010049,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,92,340,,17,2024-10-01,2025-09-30
010049,H_COMP_1_STAR_RATING,Nurse communication - star rating,4,,,340,,17,2024-10-01,2025-09-30
010049,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,86,340,,17,2024-10-01,2025-09-30
010049,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,3,,,340,,17,2024-10-01,2025-09-30
010049,H_STAR_RATING,Summary star rating,3,,,340,,17,2024-10-01,2025-09-30
010051,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,,,1,,2024-10-01,2025-09-30
010051,H_COMP_1_STAR_RATING,Nurse communication - star rating,,15,,,1,,2024-10-01,2025-09-30
010051,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,,,1,,2024-10-01,2025-09-30
010051,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,,15,,,1,,2024-10-01,2025-09-30
010051,H_STAR_RATING,Summary star rating,,15,,,1,,2024-10-01,2025-09-30
010052,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,94,100,,20,2024-10-01,2025-09-30
010052,H_COMP_1_STAR_RATING,Nurse communication - star rating,5,,,100,,20,2024-10-01,2025-09-30
010052,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,93,100,,20,2024-10-01,2025-09-30
010052,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,5,,,100,,20,2024-10-01,2025-09-30
010052,H_STAR_RATING,Summary star rating,5,,,100,,20,2024-10-01,2025-09-30
010055,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,90,984,,20,2024-10-01,2025-09-30
010055,H_COMP_1_STAR_RATING,Nurse communication - star rating,3,,,984,,20,2024-10-01,2025-09-30
010055,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,86,984,,20,2024-10-01,2025-09-30
010055,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,3,,,984,,20,2024-10-01,2025-09-30
010055,H_STAR_RATING,Summary star rating,3,,,984,,20,2024-10-01,2025-09-30
010056,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,88,1657,,21,2024-10-01,2025-09-30
010056,H_COMP_1_STAR_RATING,Nurse communication - star rating,2,,,1657,,21,2024-10-01,2025-09-30
010056,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,86,1657,,21,2024-10-01,2025-09-30
010056,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,3,,,1657,,21,2024-10-01,2025-09-30
010056,H_STAR_RATING,Summary star rating,2,,,1657,,21,2024-10-01,2025-09-30
010058,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,,28,10,11,2024-10-01,2025-09-30
010058,H_COMP_1_STAR_RATING,Nurse communication - star rating,,15,,28,10,11,2024-10-01,2025-09-30
010058,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,,28,10,11,2024-10-01,2025-09-30
010058,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,,15,,28,10,11,2024-10-01,2025-09-30
010058,H_STAR_RATING,Summary star rating,,15,,28,10,11,2024-10-01,2025-09-30
010061,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,93,221,,16,2024-10-01,2025-09-30
010061,H_COMP_1_STAR_RATING,Nurse communication - star rating,4,,,221,,16,2024-10-01,2025-09-30
010061,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,88,221,,16,2024-10-01,2025-09-30
010061,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,3,,,221,,16,2024-10-01,2025-09-30
010061,H_STAR_RATING,Summary star rating,4,,,221,,16,2024-10-01,2025-09-30
010062,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,,,5,,2024-10-01,2025-09-30
010062,H_COMP_1_STAR_RATING,Nurse communication - star rating,,5,,,5,,2024-10-01,2025-09-30
010062,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,,,5,,2024-10-01,2025-09-30
010062,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,,5,,,5,,2024-10-01,2025-09-30
010062,H_STAR_RATING,Summary star rating,,5,,,5,,2024-10-01,2025-09-30
010065,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,92,212,,22,2024-10-01,2025-09-30
010065,H_COMP_1_STAR_RATING,Nurse communication - star rating,4,,,212,,22,2024-10-01,2025-09-30
010065,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,87,212,,22,2024-10-01,2025-09-30
010065,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,3,,,212,,22,2024-10-01,2025-09-30
010065,H_STAR_RATING,Summary star rating,3,,,212,,22,2024-10-01,2025-09-30
010073,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,,,1,,2024-10-01,2025-09-30
010073,H_COMP_1_STAR_RATING,Nurse communication - star rating,,15,,,1,,2024-10-01,2025-09-30
010073,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,,,1,,2024-10-01,2025-09-30
010073,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,,15,,,1,,2024-10-01,2025-09-30
010073,H_STAR_RATING,Summary star rating,,15,,,1,,2024-10-01,2025-09-30
010078,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,88,701,,17,2024-10-01,2025-09-30
010078,H_COMP_1_STAR_RATING,Nurse communication - star rating,2,,,701,,17,2024-10-01,2025-09-30
010078,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,82,701,,17,2024-10-01,2025-09-30
010078,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,2,,,701,,17,2024-10-01,2025-09-30
010078,H_STAR_RATING,Summary star rating,2,,,701,,17,2024-10-01,2025-09-30
010079,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,93,474,,19,2024-10-01,2025-09-30
010079,H_COMP_1_STAR_RATING,Nurse communication - star rating,4,,,474,,19,2024-10-01,2025-09-30
010079,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,90,474,,19,2024-10-01,2025-09-30
010079,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,4,,,474,,19,2024-10-01,2025-09-30
010079,H_STAR_RATING,Summary star rating,4,,,474,,19,2024-10-01,2025-09-30
010083,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,92,771,,23,2024-10-01,2025-09-30
010083,H_COMP_1_STAR_RATING,Nurse communication - star rating,4,,,771,,23,2024-10-01,2025-09-30
010083,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,87,771,,23,2024-10-01,2025-09-30
010083,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,3,,,771,,23,2024-10-01,2025-09-30
010083,H_STAR_RATING,Summary star rating,3,,,771,,23,2024-10-01,2025-09-30
010085,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,92,963,,17,2024-10-01,2025-09-30
010085,H_COMP_1_STAR_RATING,Nurse communication - star rating,4,,,963,,17,2024-10-01,2025-09-30
010085,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,87,963,,17,2024-10-01,2025-09-30
010085,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,3,,,963,,17,2024-10-01,2025-09-30
010085,H_STAR_RATING,Summary star rating,4,,,963,,17,2024-10-01,2025-09-30
010086,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,,84,6,18,2024-10-01,2025-09-30
010086,H_COMP_1_STAR_RATING,Nurse communication - star rating,,15,,84,6,18,2024-10-01,2025-09-30
010086,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,,84,6,18,2024-10-01,2025-09-30
010086,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,,15,,84,6,18,2024-10-01,2025-09-30
010086,H_STAR_RATING,Summary star rating,,15,,84,6,18,2024-10-01,2025-09-30
010087,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,90,1169,,16,2024-10-01,2025-09-30
010087,H_COMP_1_STAR_RATING,Nurse communication - star rating,3,,,1169,,16,2024-10-01,2025-09-30
010087,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,87,1169,,16,2024-10-01,2025-09-30
010087,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,3,,,1169,,16,2024-10-01,2025-09-30
010087,H_STAR_RATING,Summary star rating,3,,,1169,,16,2024-10-01,2025-09-30
010089,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,90,570,,14,2024-10-01,2025-09-30
010089,H_COMP_1_STAR_RATING,Nurse communication - star rating,3,,,570,,14,2024-10-01,2025-09-30
010089,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,83,570,,14,2024-10-01,2025-09-30
010089,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,2,,,570,,14,2024-10-01,2025-09-30
010089,H_STAR_RATING,Summary star rating,2,,,570,,14,2024-10-01,2025-09-30
010090,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,88,1408,,18,2024-10-01,2025-09-30
010090,H_COMP_1_STAR_RATING,Nurse communication - star rating,2,,,1408,,18,2024-10-01,2025-09-30
010090,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,84,1408,,18,2024-10-01,2025-09-30
010090,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,2,,,1408,,18,2024-10-01,2025-09-30
010090,H_STAR_RATING,Summary star rating,2,,,1408,,18,2024-10-01,2025-09-30
010091,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,,,1,,2024-10-01,2025-09-30
010091,H_COMP_1_STAR_RATING,Nurse communication - star rating,,15,,,1,,2024-10-01,2025-09-30
010091,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,,,1,,2024-10-01,2025-09-30
010091,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,,15,,,1,,2024-10-01,2025-09-30
010091,H_STAR_RATING,Summary star rating,,15,,,1,,2024-10-01,2025-09-30
010092,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,89,1351,,32,2024-10-01,2025-09-30
010092,H_COMP_1_STAR_RATING,Nurse communication - star rating,2,,,1351,,32,2024-10-01,2025-09-30
010092,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,87,1351,,32,2024-10-01,2025-09-30
010092,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,3,,,1351,,32,2024-10-01,2025-09-30
010092,H_STAR_RATING,Summary star rating,3,,,1351,,32,2024-10-01,2025-09-30
010095,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,,35,10,18,2024-10-01,2025-09-30
010095,H_COMP_1_STAR_RATING,Nurse communication - star rating,,15,,35,10,18,2024-10-01,2025-09-30
010095,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,,35,10,18,2024-10-01,2025-09-30
010095,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,,15,,35,10,18,2024-10-01,2025-09-30
010095,H_STAR_RATING,Summary star rating,,15,,35,10,18,2024-10-01,2025-09-30
010097,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,,66,6,18,2024-10-01,2025-09-30
010097,H_COMP_1_STAR_RATING,Nurse communication - star rating,,15,,66,6,18,2024-10-01,2025-09-30
010097,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,,66,6,18,2024-10-01,2025-09-30
010097,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,,15,,66,6,18,2024-10-01,2025-09-30
010097,H_STAR_RATING,Summary star rating,,15,,66,6,18,2024-10-01,2025-09-30
010099,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,,90,6,14,2024-10-01,2025-09-30
010099,H_COMP_1_STAR_RATING,Nurse communication - star rating,,15,,90,6,14,2024-10-01,2025-09-30
010099,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,,90,6,14,2024-10-01,2025-09-30
010099,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,,15,,90,6,14,2024-10-01,2025-09-30
010099,H_STAR_RATING,Summary star rating,,15,,90,6,14,2024-10-01,2025-09-30
010100,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,91,582,,24,2024-10-01,2025-09-30
010100,H_COMP_1_STAR_RATING,Nurse communication - star rating,3,,,582,,24,2024-10-01,2025-09-30
010100,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,88,582,,24,2024-10-01,2025-09-30
010100,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,3,,,582,,24,2024-10-01,2025-09-30
010100,H_STAR_RATING,Summary star rating,3,,,582,,24,2024-10-01,2025-09-30
010101,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,96,149,,12,2024-10-01,2025-09-30
010101,H_COMP_1_STAR_RATING,Nurse communication - star rating,5,,,149,,12,2024-10-01,2025-09-30
010101,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,92,149,,12,2024-10-01,2025-09-30
010101,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,4,,,149,,12,2024-10-01,2025-09-30
010101,H_STAR_RATING,Summary star rating,4,,,149,,12,2024-10-01,2025-09-30
010103,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,90,931,,16,2024-10-01,2025-09-30
010103,H_COMP_1_STAR_RATING,Nurse communication - star rating,3,,,931,,16,2024-10-01,2025-09-30
010103,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,86,931,,16,2024-10-01,2025-09-30
010103,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,3,,,931,,16,2024-10-01,2025-09-30
010103,H_STAR_RATING,Summary star rating,3,,,931,,16,2024-10-01,2025-09-30
010104,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,90,2127,,20,2024-10-01,2025-09-30
010104,H_COMP_1_STAR_RATING,Nurse communication - star rating,3,,,2127,,20,2024-10-01,2025-09-30
010104,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,88,2127,,20,2024-10-01,2025-09-30
010104,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,3,,,2127,,20,2024-10-01,2025-09-30
010104,H_STAR_RATING,Summary star rating,3,,,2127,,20,2024-10-01,2025-09-30
010108,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,93,459,,22,2024-10-01,2025-09-30
010108,H_COMP_1_STAR_RATING,Nurse communication - star rating,4,,,459,,22,2024-10-01,2025-09-30
